quarter,node_id,metric_type,metric_value,data_quality
2019_Q4,spoke_08,participation_rate,82,complete
2019_Q4,spoke_08,knowledge_score,3.5,complete
2019_Q4,spoke_08,patient_volume,15,complete
2020_Q1,,network_size,11,complete
2020_Q1,,network_density,0.52,complete
2020_Q1,spoke_09,participation_rate,88,complete
2020_Q1,spoke_09,knowledge_score,4.5,complete
2020_Q1,spoke_09,patient_volume,42,complete
2020_Q1,spoke_10,participation_rate,70,complete
2020_Q1,spoke_10,knowledge_score,2.8,complete
2020_Q2,,network_size,13,complete
2020_Q2,,network_density,0.46,complete
2020_Q2,spoke_01,knowledge_score,5.8,complete
2020_Q2,spoke_01,patient_volume,32,complete
2020_Q2,spoke_11,participation_rate,85,complete
2020_Q2,spoke_11,knowledge_score,3.8,complete
2020_Q2,spoke_12,participation_rate,60,partial
2020_Q3,,network_size,15,complete
2020_Q3,,network_density,0.43,complete
2020_Q3,spoke_13,participation_rate,90,complete
2020_Q3,spoke_13,knowledge_score,4.2,complete
2020_Q3,spoke_13,patient_volume,35,complete
2020_Q3,spoke_14,participation_rate,55,complete
2020_Q3,spoke_14,knowledge_score,2.2,partial
2020_Q4,,network_size,17,complete
2020_Q4,,network_density,0.41,complete
2020_Q4,spoke_15,participation_rate,87,complete
2020_Q4,spoke_15,knowledge_score,4.0,complete
2020_Q4,spoke_16,participation_rate,72,complete
2020_Q4,spoke_16,knowledge_score,3.0,complete
2021_Q1,,network_size,20,complete
2021_Q1,,network_density,0.39,complete
2021_Q1,spoke_01,knowledge_score,6.5,complete
2021_Q1,spoke_01,patient_volume,45,complete
2021_Q1,spoke_01,implementation_score,7,complete
2021_Q1,spoke_17,participation_rate,92,complete
2021_Q1,spoke_17,knowledge_score,4.8,complete
2021_Q2,,network_size,23,complete
2021_Q2,,network_density,0.37,complete
2021_Q2,spoke_09,knowledge_score,6.2,complete
2021_Q2,spoke_09,patient_volume,68,complete
2021_Q2,spoke_18,participation_rate,78,complete
2021_Q2,spoke_19,participation_rate,62,partial
2021_Q2,spoke_20,participation_rate,80,complete
2021_Q3,,network_size,26,complete
2021_Q3,,network_density,0.35,complete
2021_Q3,spoke_01,knowledge_score,7.0,complete
2021_Q3,spoke_01,patient_volume,52,complete
2021_Q3,spoke_21,participation_rate,88,complete
2021_Q3,spoke_22,participation_rate,85,complete
2021_Q4,,network_size,28,complete
2021_Q4,,network_density,0.34,complete
2021_Q4,spoke_02,knowledge_score,6.8,complete
2021_Q4,spoke_02,patient_volume,85,complete
2021_Q4,spoke_23,participation_rate,77,complete
2021_Q4,spoke_24,participation_rate,58,partial
2022_Q1,,network_size,31,complete
2022_Q1,,network_density,0.33,complete
2022_Q1,spoke_25,participation_rate,90,complete
2022_Q1,spoke_25,knowledge_score,4.5,complete
2022_Q1,spoke_26,participation_rate,48,partial
2022_Q1,spoke_27,participation_rate,75,complete
2022_Q2,,network_size,34,complete
2022_Q2,,network_density,0.32,complete
2022_Q2,spoke_01,knowledge_score,7.5,complete
2022_Q2,spoke_01,patient_volume,62,complete
2022_Q2,spoke_28,participation_rate,93,complete
2022_Q2,spoke_28,knowledge_score,5.5,complete
2022_Q2,spoke_29,participation_rate,65,complete
2022_Q3,,network_size,36,complete
2022_Q3,,network_density,0.31,complete
2022_Q3,spoke_09,knowledge_score,7.2,complete
2022_Q3,spoke_09,patient_volume,95,complete
2022_Q3,spoke_30,participation_rate,52,partial
2022_Q3,spoke_31,participation_rate,78,complete
2022_Q3,spoke_32,participation_rate,60,complete
2022_Q4,,network_size,38,complete
2022_Q4,,network_density,0.30,complete
2022_Q4,spoke_33,participation_rate,68,complete
2022_Q4,spoke_34,participation_rate,82,complete
2022_Q4,spoke_17,knowledge_score,6.8,complete
2022_Q4,spoke_17,patient_volume,78,complete
2023_Q1,,network_size,41,complete
2023_Q1,,network_density,0.29,complete
2023_Q1,spoke_01,knowledge_score,8.0,complete
2023_Q1,spoke_01,patient_volume,75,complete
2023_Q1,spoke_01,implementation_score,9,complete
2023_Q1,spoke_35,participation_rate,73,complete
2023_Q1,spoke_36,participation_rate,58,partial
2023_Q2,,network_size,42,complete
2023_Q2,,network_density,0.30,complete
2023_Q2,spoke_09,knowledge_score,7.8,complete
2023_Q2,spoke_09,patient_volume,115,complete
2023_Q2,spoke_37,participation_rate,82,complete
2023_Q2,spoke_38,participation_rate,76,complete
2023_Q2,spoke_28,knowledge_score,7.0,complete
2023_Q2,spoke_28,patient_volume,92,complete
2023_Q3,,network_size,43,complete
2023_Q3,,network_density,0.29,complete
2023_Q3,spoke_02,knowledge_score,7.5,complete
2023_Q3,spoke_02,patient_volume,105,complete
2023_Q3,spoke_39,participation_rate,45,partial
2023_Q3,spoke_40,participation_rate,72,complete
2023_Q3,spoke_17,knowledge_score,7.5,complete
2023_Q3,spoke_17,patient_volume,95,complete
2023_Q4,,network_size,44,complete
2023_Q4,,network_density,0.30,complete
2023_Q4,spoke_01,knowledge_score,8.5,complete
2023_Q4,spoke_01,patient_volume,88,complete
2023_Q4,spoke_41,participation_rate,85,complete
2023_Q4,spoke_42,participation_rate,90,complete
2023_Q4,spoke_09,knowledge_score,8.2,complete
2023_Q4,spoke_09,patient_volume,132,complete
2023_Q4,spoke_28,knowledge_score,7.8,complete
2023_Q4,spoke_28,patient_volume,110,complete
